instance_id,n,budget,density,seed,solver,p,sweeps,num_reads,shots,maxiter,best_bitstring,selected,energy,exact_energy,gap,success_prob,wall_time_sec,transpile_time_sec,qpu_seconds,gamma_beta,note
n4_k2_d0.5_seed5,4,2,0.5,5,SA,,5000.0,200.0,,,1001,2,0.4660571390066277,0.4660571390066224,1.1434371608510064e-14,0.25,0.05801709999650484,,,,ok
n4_k2_d0.5_seed5,4,2,0.5,5,SQA,,100.0,200.0,,,1001,2,0.4660571390066277,0.4660571390066224,1.1434371608510064e-14,0.245,0.03497130000323523,,,,ok
n4_k2_d0.5_seed5,4,2,0.5,5,SQA,,1000.0,200.0,,,1001,2,0.4660571390066277,0.4660571390066224,1.1434371608510064e-14,0.195,0.3149684999953024,,,,ok
n4_k2_d0.5_seed5,4,2,0.5,5,SQA,,5000.0,200.0,,,1001,2,0.4660571390066277,0.4660571390066224,1.1434371608510064e-14,0.31,1.5544156999967527,,,,ok
n4_k2_d0.5_seed5,4,2,0.5,5,QAOA_STATEVECTOR,1.0,,,none,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.08401873282938598,0.259296500000346,,,"{""gammas"": [2.2635413300649843], ""betas"": [1.9813622828775033]}",optimizer_fun=7.800894
n4_k2_d0.5_seed5,4,2,0.5,5,QAOA_STATEVECTOR,2.0,,,none,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.195526453625146,0.1636627000043518,,,"{""gammas"": [3.3825697231268532, 3.401809025186493], ""betas"": [1.548528255860601, 0.9609832632328071]}",optimizer_fun=6.322120
n4_k2_d0.5_seed5,4,2,0.5,5,QAOA_SHOT_SIM,1.0,,,1024,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.0888671875,0.18804609999642707,,,"{""gammas"": [2.2635413300649843], ""betas"": [1.9813622828775033]}",ok
n4_k2_d0.5_seed5,4,2,0.5,5,QAOA_SHOT_SIM,2.0,,,1024,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.185546875,0.1842331000007107,,,"{""gammas"": [3.3825697231268532, 3.401809025186493], ""betas"": [1.548528255860601, 0.9609832632328071]}",ok
n4_k2_d1.0_seed1,4,2,1.0,1,CPLEX_EXACT,,,,,,0101,2,0.3195493240339893,0.3195493240339893,0.0,1.0,0.15780139999696985,,,,ok
n4_k2_d1.0_seed1,4,2,1.0,1,SA,,100.0,200.0,,,0101,2,0.3195493240339875,0.3195493240339893,-5.558944130989011e-15,0.185,0.003502199993818067,,,,ok
n4_k2_d1.0_seed1,4,2,1.0,1,SA,,1000.0,200.0,,,0101,2,0.3195493240339875,0.3195493240339893,-5.558944130989011e-15,0.275,0.014564999997674022,,,,ok
